year of exhibition,age at the time,name,birthyear,birthplace city,birthplace state,work place city,work place state,work place 2,work place 2 state or country
1997,42,kerry james marshall,1955,birmingham,alabama,chicago,illinois,,
2000,49,thornton dial,1951,birmingham,alabama,besemer,alabama,,
2014,37,angie keefer,1977,huntsville,alabama,hudson,new york,,
2000,38,jem cohen,1962,kabul,afghanistan,brooklyn,new york,,
1985,37,robert yarber,1948,dallas,texas,austin,texas,oakland,california
1981,30,louisa chase,1951,panama city,panama,new york,new york,,
1979,47,ralph humphrey,1932,youngstown,ohio,new york,new york,,
1983,23,jean michel basquiat,1960,brooklyn,new york,new york,new york,,
1993,30,christine chang,1963,seoul,korea,new york,new york,,
2004,40,lee mingwei,1964,,taiwan,berkeley,california,new york,new york
2004,58,marina abramovic,1946,belgrade,serbia,amsterdam,netherlands,new york,new york
1973,33,sherron francis,1940,,,new york,new york,,
1973,46,william pettet,1927,,,new york,new york,,
1973,45,sylvia stone,1928,,,new york,new york,,
1973,41,bob stanley,1932,,,new york,new york,,
1973,40,jaqueline gourevitch,1933,,,middletown,connecticut,,
1973,38,dennis mccarthy,1935,,,new york,new york,,
1973,38,philip wofford,1935,,,new york,new york,,
1973,38,robert zakanitch,1935,,,new york,new york,,
1973,37,william allan,1936,,,mill valley,california,,
1973,36,jim starrett,1937,,,new york,new york,,
1973,36,robert povlich,1937,,,new york,new york,,
1973,35,arden scott,1938,,,new york,new york,,
1973,35,jane kaufman,1938,,,new york,new york,,
1973,34,salle werner,1939,,,houston,texas,,
1973,32,brenda miller,1941,,,new york,new york,,
1973,32,carl glikob,1941,,,new york,new york,,
1973,32,ed shostak,1941,,,new york,new york,,
1973,31,alex siburney,1942,,,new york,new york,,
1973,31,arlene slavin,1942,,,new york,new york,,
1973,31,jay wholley,1942,,,new york,new york,,
1973,31,jeffrey way,1942,,,new york,new york,,
1973,31,stuart diamond,1942,,,new york,new york,,
1973,29,lester van winkle,1944,,,richmond,virginia,,
1973,28,arthur cohen,1945,,,new york,new york,,
1973,28,s. a. davis,1945,,,san francisco,california,,
1973,27,catherine murphy,1946,,,new york,new york,,
1973,27,guy dill,1946,,,venice,california,,
1973,27,susan tunick,1946,,,new york,new york,,
1973,27,william omwake,1946,,,philadelphia,pennsylvania,,
1973,26,malcolm bailey,1947,,,new york,new york,,
